ID,Epic,User Story,Priority,Story Points,Sprint,Owner,Definition of Done
BL-001,Authentication,"As a doctor, I want to log in with my credentials so I can access the doctor dashboard.",P0,5,Sprint-1,Backend+Frontend,"Login endpoint returns role and profile, UI routes correctly, tests pass."
BL-002,Authentication,"As a receptionist, I want to log in and view receptionist tools so I can manage daily operations.",P0,5,Sprint-1,Frontend,"Receptionist login flow works on device and web."
BL-003,Patients,"As a receptionist, I want to create a patient record so that appointments can be booked.",P0,5,Sprint-1,Frontend+Backend,"Patient appears in API and directory screen."
BL-004,Patients,"As clinic staff, I want to edit patient demographics and notes so records stay accurate.",P1,3,Sprint-1,Frontend+Backend,"PATCH/update_info works and UI updates."
BL-005,Appointments,"As a receptionist, I want to book an appointment with date/time and doctor so patient visits are scheduled.",P0,8,Sprint-1,Frontend+Backend,"Booking endpoint and calendar views validated."
BL-006,Appointments,"As a doctor, I want appointment filtering by date so I can review my workload.",P1,3,Sprint-2,Backend,"Filter parameters return correct subset."
BL-007,Diagnosis,"As a doctor, I want to save diagnosis and medications so treatment history is preserved.",P0,8,Sprint-2,Backend,"MedicalRecord and Prescription records are created."
BL-008,Diagnosis,"As a doctor, I want medication suggestions so I can prescribe faster.",P1,5,Sprint-2,Backend,"Suggest endpoint returns relevant medications."
BL-009,Insurance,"As a receptionist, I want to manage insurance companies so billing rules are consistent.",P1,3,Sprint-2,Frontend+Backend,"Insurance CRUD endpoints connected to UI."
BL-010,Insurance,"As billing staff, I want insurance validity dates enforced so expired policies are not applied.",P0,5,Sprint-2,Backend,"Invoice logic ignores expired insurance and tests pass."
BL-011,Billing,"As a receptionist, I want to create invoices with multiple items so payment collection is accurate.",P0,8,Sprint-2,Frontend+Backend,"Invoice totals are computed and visible."
BL-012,Billing,"As a receptionist, I want to mark invoices as paid so payment status is tracked.",P0,3,Sprint-2,Backend,"mark_paid endpoint updates payment state."
BL-013,Inventory,"As clinic staff, I want to add and edit inventory items so stock records stay current.",P1,5,Sprint-3,Frontend+Backend,"Inventory CRUD works with form validation."
BL-014,Inventory,"As clinic staff, I want to add and consume stock with transaction logs so usage is auditable.",P0,8,Sprint-3,Backend,"add_stock/use_stock endpoints create transactions."
BL-015,Inventory,"As clinic manager, I want low-stock and expiring-soon alerts so I can restock proactively.",P1,5,Sprint-3,Backend,"Alert endpoints return correct items."
BL-016,Reports,"As clinic manager, I want analytics charts so I can monitor clinic performance.",P1,8,Sprint-3,Frontend+Backend,"Reports endpoints and report pages render data."
BL-017,Settings,"As a receptionist, I want to configure clinic schedule so booking follows business hours.",P1,5,Sprint-3,Backend,"upsert/resolved schedule endpoints validated."
BL-018,Quality,"As the team, we want CI checks so regressions are detected automatically.",P0,5,Sprint-3,DevOps,"CI workflow runs tests and lint on push/PR."
BL-019,Deployment,"As the team, we want automated CD so master deploys reliably.",P0,5,Sprint-3,DevOps,"CD workflow triggers hosting deployment via hooks."
BL-020,Documentation,"As project evaluators, we need complete Phase 2 docs so the system is assessable.",P0,8,Sprint-3,All,"Test cases, diagrams, requirements, and scrum artifacts completed."
